Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Ilomcr9iLplsgAvZjHkJP,"Location","Location","Zerb,Ty Dolla $ign,Wiz Khalifa",2025-01-03,148135,83,false,teage03,2025-06-30T10:25:58Z,"afro house,trap soul,rap","TH3RD BRAIN; Ty Dolla $ign appears courtesy of Atlantic Recording Corporation; Wiz Khalifa appears courtesy of Taylor Gang Ent. LLC",0.781,0.773,11,-5.812,0,0.0525,0.129,0,0.102,0.402,119.993,4
spotify:track:5wtSei6pJpDEB1iKqPHhfU,"Houdini","Houdini","Dua Lipa",2023-11-10,185917,58,false,teage03,2024-03-24T20:14:39Z,"pop","Urban",0.744,0.791,9,-4.878,0,0.0586,0.00368,0.00171,0.0944,0.872,116.981,4
spotify:track:5SxahezRlC0saXbCALfB7c,"End of the World","End of the World","Miley Cyrus",2025-04-04,250483,83,false,teage03,2025-04-08T19:14:09Z,"","Columbia",0.586,0.823,1,-3.46,1,0.0322,0.0268,0,0.477,0.486,121.492,4
spotify:track:1YsU8rW2u8z4F0pwOBQ4Ea,"feelslikeimfallinginlove - Single Version","feelslikeimfallinginlove","Coldplay",2024-06-21,237803,76,false,teage03,2024-07-20T20:13:34Z,"","Parlophone UK",0.629,0.515,0,-7.503,1,0.0272,0.0448,0.00751,0.117,0.339,121.154,4
spotify:track:0h3Xy4V4apMraB5NuM8U7Z,"Stumblin' In","Stumblin' In","CYRIL",2023-11-10,213363,88,false,teage03,2024-03-24T20:14:39Z,"","Spinnin' Records",0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,4
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,"Abracadabra","MAYHEM","Lady Gaga",2025-03-07,223398,87,false,teage03,2025-03-09T07:52:03Z,"art pop,pop","Interscope Records",0.679,0.906,10,-3.443,0,0.0632,0.0119,0,0.229,0.652,126.01,4
spotify:track:5ejTcCJOozPqRPMs9gW3pN,"Be Mine","Be Mine","KAMRAD",2025-05-16,156463,77,false,teage03,2025-06-30T10:25:58Z,"","umn Entertainment",0.695,0.855,7,-5.563,0,0.0353,0.0201,0.00000621,0.33,0.609,125.972,4
spotify:track:1E7xmNFzqkkh1DMwBomBg3,"Wenn das Liebe ist","Wenn das Liebe ist","Nina Chuba",2025-05-30,164991,80,false,teage03,2025-06-30T10:25:58Z,"german indie,german pop,german hip hop","Jive",0.749,0.754,5,-4.695,0,0.0288,0.0399,0.000343,0.165,0.804,129.018,4
spotify:track:4AajxCEwGEsmHmT4H1TwjY,"undressed","undressed","sombr",2025-03-21,182088,97,false,teage03,2025-06-30T10:25:58Z,"","Warner Records",0.642,0.887,0,-3.883,1,0.0406,0.137,0,0.0829,0.888,115.999,4
spotify:track:1We3jgIztlD2Tkb0yOoX4b,"Walzer","Walzer","Provinz",2024-12-04,201325,64,false,teage03,2025-06-30T10:25:58Z,"german indie,german pop","Warner Music Central Europe",0.392,0.487,6,-6.911,0,0.0363,0.444,0,0.0786,0.212,171.361,3
spotify:track:4zpNfuWJA3K4d9TS4qnOIB,"Espresso Macchiato","Espresso Macchiato","Tommy Cash",2024-12-07,173746,84,false,teage03,2025-06-30T10:25:58Z,"","Epic",0.682,0.699,4,-6.168,0,0.045,0.0116,0.00000982,0.135,0.697,119.889,4
spotify:track:45J4avUb9Ni0bnETYaYFVJ,"luther (with sza)","GNX","Kendrick Lamar,SZA",2024-11-22,177598,90,false,teage03,2025-06-30T10:25:58Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
spotify:track:5ZLUm9eab8y3tqQ1OhQSHI,"Abracadabra","Abracadabra","Lady Gaga",2025-02-03,223398,90,false,teage03,2025-06-30T10:25:58Z,"art pop,pop","Interscope Records",0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
spotify:track:1SdJK81uqfXNIhlZI9vjlg,"twilight zone","twilight zone","Ariana Grande",2025-06-20,198320,66,false,teage03,2025-06-30T10:25:58Z,"pop","Republic Records",0.737,0.48,5,-7.364,1,0.0306,0.0897,0.00022,0.0984,0.207,114.915,4
spotify:track:5vNRhkKd0yEAg8suGBpjeY,"APT.","APT.","ROSÉ,Bruno Mars",2024-10-18,169917,94,false,teage03,2024-10-23T21:40:22Z,"k-pop","Atlantic Records",0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
spotify:track:35ISBknsCeZQtq66xABI9g,"Messy","This Wasn't Meant For You Anyway","Lola Young",2024-06-21,284066,89,true,teage03,2025-01-03T15:51:57Z,"","Universal-Island Records Ltd.",0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
